timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759253193459,37,HTTP Health Check,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",HTTP IoT Sensors Group 1-1,text,false,,2631,0,1,2,http://localhost:8081/health,0,0,37
1759253193505,4,HTTP Sensor Registration,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-1,text,false,,2678,0,1,2,http://localhost:8081/register,0,0,4
1759253193510,1,HTTP Sensor Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-1,text,false,,2678,0,1,2,http://localhost:8081/data,0,0,1
1759253193513,1,HTTP Health Check,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",HTTP IoT Sensors Group 1-1,text,false,,2631,0,1,2,http://localhost:8081/health,0,0,1
1759253193515,3,HTTP Sensor Registration,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-1,text,false,,2678,0,1,2,http://localhost:8081/register,0,0,2
1759253193520,15,HTTP Sensor Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-1,text,false,,2678,0,1,2,http://localhost:8081/data,0,0,14
1759253194612,3,HTTP Health Check,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",HTTP IoT Sensors Group 1-2,text,false,,2631,0,1,3,http://localhost:8081/health,0,0,3
1759253194621,3,HTTP Sensor Registration,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-2,text,false,,2678,0,1,3,http://localhost:8081/register,0,0,3
1759253194626,3,HTTP Sensor Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-2,text,false,,2678,0,1,3,http://localhost:8081/data,0,0,3
1759253194630,4,HTTP Health Check,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",HTTP IoT Sensors Group 1-2,text,false,,2631,0,1,3,http://localhost:8081/health,0,0,3
1759253194635,3,HTTP Sensor Registration,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-2,text,false,,2678,0,1,3,http://localhost:8081/register,0,0,3
1759253194639,3,HTTP Sensor Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt",HTTP IoT Sensors Group 1-2,text,false,,2678,0,1,3,http://localhost:8081/data,0,0,3
1759253193224,5041,TCP Sensor Registration,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,7
1759253194614,5005,TCP Sensor Registration,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,2,2,null,0,0,2
1759253198268,5007,TCP Sensor Data,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,1
1759253199619,5002,TCP Sensor Data,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,2,2,null,0,0,1
1759253203275,5006,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,1
1759253204622,5008,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,2,2,null,0,0,1
1759253208282,5007,TCP Sensor Registration,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,1
1759253209632,5015,TCP Sensor Registration,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,2,2,null,0,0,1
1759253213290,5016,TCP Sensor Data,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,2
1759253214647,5017,TCP Sensor Data,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,2,2,null,0,0,1
1759253218305,5012,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-1,text,false,,0,0,2,2,null,0,0,1
1759253219665,5007,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 0",TCP IoT Sensors Group 2-2,text,false,,0,0,1,1,null,0,0,2
