timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759254080585,15,TCP Sensor Registration,200,OK,TCP IoT Sensors Group 2-1,text,true,,53,0,1,2,null,14,0,9
1759254080604,8,TCP Sensor Data,200,OK,TCP IoT Sensors Group 2-1,text,true,,53,0,1,2,null,7,0,1
1759254080701,39,HTTP Health Check,200,OK,HTTP IoT Sensors Group 1-1,text,true,,226,122,1,2,http://localhost:8081/health,31,0,20
1759254080742,22,HTTP Sensor Registration,200,OK,HTTP IoT Sensors Group 1-1,text,true,,352,296,1,2,http://localhost:8081/register,13,0,5
1759254080764,16,HTTP Sensor Data,200,OK,HTTP IoT Sensors Group 1-1,text,true,,348,286,1,2,http://localhost:8081/data,9,0,2
1759254080782,10,HTTP Health Check,200,OK,HTTP IoT Sensors Group 1-1,text,true,,226,122,1,2,http://localhost:8081/health,7,0,1
1759254080793,15,HTTP Sensor Registration,200,OK,HTTP IoT Sensors Group 1-1,text,true,,352,296,1,2,http://localhost:8081/register,8,0,2
1759254080809,14,HTTP Sensor Data,200,OK,HTTP IoT Sensors Group 1-1,text,true,,348,286,1,2,http://localhost:8081/data,8,0,1
1759254082071,7,TCP Sensor Registration,200,OK,TCP IoT Sensors Group 2-2,text,true,,53,0,2,3,null,5,0,1
1759254082066,13,HTTP Health Check,200,OK,HTTP IoT Sensors Group 1-2,text,true,,226,122,1,3,http://localhost:8081/health,9,0,1
1759254082080,7,TCP Sensor Data,200,OK,TCP IoT Sensors Group 2-2,text,true,,53,0,2,3,null,5,0,1
1759254082080,19,HTTP Sensor Registration,200,OK,HTTP IoT Sensors Group 1-2,text,true,,352,296,1,3,http://localhost:8081/register,10,0,1
1759254082100,14,HTTP Sensor Data,200,OK,HTTP IoT Sensors Group 1-2,text,true,,348,286,1,3,http://localhost:8081/data,8,0,2
1759254082115,10,HTTP Health Check,200,OK,HTTP IoT Sensors Group 1-2,text,true,,226,122,1,3,http://localhost:8081/health,7,0,2
1759254082126,13,HTTP Sensor Registration,200,OK,HTTP IoT Sensors Group 1-2,text,true,,349,296,1,3,http://localhost:8081/register,7,0,1
1759254082140,13,HTTP Sensor Data,200,OK,HTTP IoT Sensors Group 1-2,text,true,,348,286,1,3,http://localhost:8081/data,7,0,1
1759254080613,5024,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 53",TCP IoT Sensors Group 2-1,text,false,,53,0,2,2,null,5,0,1
1759254085639,6,TCP Sensor Registration,200,OK,TCP IoT Sensors Group 2-1,text,true,,53,0,2,2,null,5,0,1
1759254085646,5,TCP Sensor Data,200,OK,TCP IoT Sensors Group 2-1,text,true,,53,0,2,2,null,4,0,1
1759254082088,5019,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 53",TCP IoT Sensors Group 2-2,text,false,,53,0,2,2,null,7,0,1
1759254087109,5,TCP Sensor Registration,200,OK,TCP IoT Sensors Group 2-2,text,true,,53,0,2,2,null,4,0,0
1759254087114,5,TCP Sensor Data,200,OK,TCP IoT Sensors Group 2-2,text,true,,53,0,2,2,null,4,0,1
1759254085652,5016,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 53",TCP IoT Sensors Group 2-1,text,false,,53,0,2,2,null,3,0,1
1759254087119,5015,TCP Heartbeat,500,"org.apache.jmeter.protocol.tcp.sampler.ReadException: Error reading from server, bytes read: 53",TCP IoT Sensors Group 2-2,text,false,,53,0,1,1,null,4,0,1
